step,cultivar,ecotype,P1V,P1D,P5,G1,G2,G3,PHINT
Initial_value,Yecora_Rojo,CI0001,2,40,570,27,45,4,100
Cultivar calibration,ENTRY 1,subset_A,2,41.91,568.1,21.5,47.36,8,113.2
Cultivar calibration,ENTRY 2,subset_A,2,35.1,563.8,23.55,42.47,6.35,115.4
Cultivar calibration,ENTRY 3,subset_A,2,36.76,561.8,22.55,48.69,5.633,134.1
Cultivar calibration,ENTRY 4,subset_A,2,42.01,589.1,21.09,49.58,8,105.2
Cultivar calibration,ENTRY 5,subset_A,2,47.34,603.9,20.18,49.09,2.239,90.84
Cultivar calibration,ENTRY 6,subset_A,2,41.07,570,23.58,44.44,4.003,96.11
Cultivar calibration,ENTRY 7,subset_A,2,47.2,559.6,21.32,41.75,7.271,108.1
Cultivar calibration,ENTRY 8,subset_A,2,53.39,621,21.88,40.93,0.5,90.71
Cultivar calibration,ENTRY 9,subset_A,2,45.48,638.6,21.59,41.05,2.68,89.68
Cultivar calibration,ENTRY 10,subset_A,2,46.54,568.6,21.48,45.03,8,102.4
Cultivar calibration,ENTRY 11,subset_A,2,42.24,544.8,18.7,50.36,8,112
Cultivar calibration,ENTRY 12,subset_A,2,43.71,575.5,18.04,52.78,4.412,103.5
Cultivar calibration,ENTRY 13,subset_A,2,44.11,554.3,18.74,53.2,6.351,106.3
Cultivar calibration,ENTRY 14,subset_A,2,31.95,548.1,25.76,44.07,0.5,150
Cultivar calibration,ENTRY 1,subset_B,2,34.9,603.9,20.47,47.66,7.53,148.8
Cultivar calibration,ENTRY 2,subset_B,2,35.1,563.8,23.55,42.47,6.35,115.4
Cultivar calibration,ENTRY 3,subset_B,2,40.05,569.3,21.5,45.45,4.012,106
Cultivar calibration,ENTRY 4,subset_B,2,37.26,571.3,20.43,49.69,7.838,119.4
Cultivar calibration,ENTRY 5,subset_B,2,40,570,27,45,4,100
Cultivar calibration,ENTRY 6,subset_B,2,41.07,570,23.58,44.44,4.003,96.11
Cultivar calibration,ENTRY 7,subset_B,2,47.2,559.6,21.32,41.75,7.271,108.1
Cultivar calibration,ENTRY 8,subset_B,2,44.84,621.3,21.49,41.37,2.267,108.2
Cultivar calibration,ENTRY 9,subset_B,2,45.48,638.6,21.59,41.05,2.68,89.68
Cultivar calibration,ENTRY 10,subset_B,2,40.6,565.6,21.54,45.24,6.795,105.8
Cultivar calibration,ENTRY 11,subset_B,2,40.11,542.2,19.8,50.37,7.407,121.7
Cultivar calibration,ENTRY 12,subset_B,2,46.07,572.7,17.96,52.78,4.428,98.6
Cultivar calibration,ENTRY 13,subset_B,2,46.08,557.3,18.56,52.85,8,97.27
Cultivar calibration,ENTRY 14,subset_B,2,39.81,580.2,24.48,44.08,5.233,121
Cultivar calibration,ENTRY 1,subset_C,2,43.17,578.9,21.69,47.16,6.987,114.6
Cultivar calibration,ENTRY 2,subset_C,2,43.12,578,23.58,42.35,4.076,101.6
Cultivar calibration,ENTRY 3,subset_C,2,38.83,576.7,22.85,48.68,0.5,120.2
Cultivar calibration,ENTRY 4,subset_C,2,44.13,587.3,22.21,49.35,5.271,102.6
Cultivar calibration,ENTRY 5,subset_C,2,34.7,623,18.61,55.27,3.518,97.59
Cultivar calibration,ENTRY 6,subset_C,2,40.16,568.6,21.72,48.06,5.041,98.71
Cultivar calibration,ENTRY 7,subset_C,2,52.33,567.2,22.02,41.51,4.638,124.5
Cultivar calibration,ENTRY 8,subset_C,2,42,621,19.58,46.45,3.521,100.2
Cultivar calibration,ENTRY 9,subset_C,2,40.93,572.5,20.42,44.81,4,103
Cultivar calibration,ENTRY 10,subset_C,2,49.45,570.3,21.47,44.71,4.797,95.91
Cultivar calibration,ENTRY 11,subset_C,2,36.35,550.7,19.76,50.28,4.544,150
Cultivar calibration,ENTRY 12,subset_C,2,41.97,573.9,18.42,52.67,4.164,116.4
Cultivar calibration,ENTRY 13,subset_C,2,40.52,561.1,19.52,53.18,8,127.8
Cultivar calibration,ENTRY 14,subset_C,2,38.26,534.1,25.76,43.95,4.16,129.7
Cultivar calibration,ENTRY 1,subset_D,2,41.36,556.5,20.98,47.03,4.129,103.3
Cultivar calibration,ENTRY 2,subset_D,2,38.58,543,22.53,43.97,7.862,150
Cultivar calibration,ENTRY 3,subset_D,2,41.76,605.6,21.54,48.73,4.568,114.1
Cultivar calibration,ENTRY 4,subset_D,2,37.24,587.5,22.18,49.32,4.225,106.6
Cultivar calibration,ENTRY 5,subset_D,2,45.47,622.2,19.22,48.65,0.5,90.47
Cultivar calibration,ENTRY 6,subset_D,2,36.52,575.4,22,42.59,4.178,102.9
Cultivar calibration,ENTRY 7,subset_D,2,45.96,563.6,22.74,41.45,4.128,133.9
Cultivar calibration,ENTRY 8,subset_D,2,44.57,582.4,20.15,41.08,3.969,97.04
Cultivar calibration,ENTRY 9,subset_D,2,39.11,575.1,20.65,42.55,3.974,102.4
